,categories,coordinates.latitude,coordinates.longitude,id,location.address1,location.address2,location.address3,location.city,location.country,location.formatted_address,location.postal_code,location.state,name,price,rating,review_count,url,cluster_id,score,path
406,"[{'alias': 'musicvenues'}, {'alias': 'bars'}, {'alias': 'danceclubs'}]",34.077587,-118.2605384,ruiW9h7GIcN4y1OAhOen5Q,1154 Glendale Blvd,,,Los Angeles,US,"1154 Glendale Blvd
Los Angeles, CA 90026",90026,CA,Echoplex,$$,3.5,500,https://www.yelp.com/biz/echoplex-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,6.198970004,5
422,"[{'alias': 'musicvenues'}, {'alias': 'lounges'}, {'alias': 'divebars'}]",34.07757568,-118.2600784,mzO5Ib2H4ffBmr5jpNDeQg,1822 W Sunset Blvd,,,Los Angeles,US,"1822 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,The Echo,$$,3.5,431,https://www.yelp.com/biz/the-echo-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,6.13447727,6
417,[{'alias': 'lounges'}],34.07824,-118.26108,KDHlS9X2acBGBstiRWW0Vw,1911 W Sunset Blvd,,,Los Angeles,US,"1911 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Taix 321 Lounge,$$,4,97,https://www.yelp.com/biz/taix-321-lounge-los-angeles-2?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,5.986771734,7
420,"[{'alias': 'bars'}, {'alias': 'newamerican'}]",34.07639,-118.25579,nUT0BaARIUa1I_qV39mj9A,1525 W Sunset Blvd,,,Los Angeles,US,"1525 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Ostrich Farm,$$,4,454,https://www.yelp.com/biz/ostrich-farm-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,6.657055853,8
435,[{'alias': 'bars'}],34.0837999,-118.2737,96SdIYVwMGRYSKOucSh7tQ,2939 W Sunset Blvd,,,Los Angeles,US,"2939 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Thirsty Crow,$$,4,708,https://www.yelp.com/biz/thirsty-crow-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,10,6.850033258,1
426,"[{'alias': 'danceclubs'}, {'alias': 'musicvenues'}]",34.08391811,-118.2743143,4isnD4qvBhglJrdvDWqpAg,3040 W Sunset Blvd,,,Los Angeles,US,"3040 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Los Globos,$$,2.5,365,https://www.yelp.com/biz/los-globos-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,10,5.062292864,2
428,"[{'alias': 'bars'}, {'alias': 'tacos'}, {'alias': 'beer_and_wine'}]",34.0850744,-118.2745083,_rNLDmwV1u_D2tiZLUFmYQ,3129 W Sunset Blvd,,,Los Angeles,US,"3129 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Diablo,$$,3.5,785,https://www.yelp.com/biz/diablo-los-angeles-2?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,10,6.394869657,3
429,"[{'alias': 'cocktailbars'}, {'alias': 'newamerican'}]",34.0854955,-118.2750903,xPoZ1x-sGynBexrmRXyKlA,3200 W Sunset Blvd,,,Los Angeles,US,"3200 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,All Day Baby,,4.5,15,https://www.yelp.com/biz/all-day-baby-los-angeles-4?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,10,5.676091259,4
430,"[{'alias': 'coffee'}, {'alias': 'hookah_bars'}]",34.086378,-118.275051,umrIxr_NL2KHOv0SE_KniQ,3229 W Sunset Blvd,,,Los Angeles,US,"3229 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Ali Mama Cafe,$,4.5,134,https://www.yelp.com/biz/ali-mama-cafe-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,10,6.627104798,5
443,"[{'alias': 'newamerican'}, {'alias': 'cocktailbars'}, {'alias': 'venues'}]",34.092097,-118.279745,QADDG3waUFFqhjnSn_qfsA,3909 Sunset Blvd,,,Los Angeles,US,"3909 Sunset Blvd
Los Angeles, CA 90029",90029,CA,The Black Cat,$$,4,463,https://www.yelp.com/biz/the-black-cat-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,11,6.665580991,1
